step,winner,endpoint_factor,edge_factor
5,1,0.111806,-0.00578704
6,1,0,0
7,1,0.0439394,0
8,1,0.00893939,-0.00138889
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.222222,0.010582
3,-1,-0.0854167,0.0114087
4,-1,-0.260417,0.015873
5,-1,-0.135417,0.015873
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,0.0833333,-0.010582
0,-1,0,0
1,-1,0.0333333,-0.0178571
2,-1,-0.025,-0.00198413
3,-1,0.0801587,-0.0115741
4,-1,0.0222222,-0.0104167
5,-1,0.113889,-0.014881
6,-1,-0.0472222,-0.00357143
7,-1,0.00277778,-0.00833333
8,-1,0.00126263,-0.012963
9,-1,0.0841667,-0.0320833
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.0333333,-0.0178571
2,1,0.0253968,-0.0224868
3,1,0.0142857,-0.00661376
4,1,-0.0559524,-0.00892857
0,1,0,0
1,1,-0.0166667,0.00694444
2,1,-0.0583333,0
3,1,0.105556,-0.00925926
4,1,0.107937,-0.00330688
5,1,0.125397,0.000165344
6,1,0.0743056,-0.00429894
7,1,0.11754,-0.00132275
8,1,0.0342063,-0.00026455
9,1,0.0925397,-0.00502646
10,1,0.063373,-0.00882937
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.0333333,-0.0178571
2,1,0,0
3,1,0.00357143,-0.014881
4,1,0.00846561,0
5,1,0.0174603,0.0145833
6,1,-0.060119,0.00601852
7,1,0.109405,-0.016746
8,1,0.105952,-0.0212302
9,1,0.0674603,-0.00667989
10,1,0.0204082,-0.00988284
0,-1,0,0
1,-1,0.166667,0
2,-1,-0.133333,0.0138889
3,-1,-0.105556,0.00925926
4,-1,-0.136111,0.00925926
5,-1,0.00833333,-0.000992063
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
3,1,0.222222,-0.010582
4,1,-0.08125,0.00595238
5,1,-0.0190476,-0.000992063
6,1,-0.0496032,-0.00330688
7,1,0.0218254,-0.00115741
8,1,-0.0253968,-0.00185185
9,1,0.0134921,0
10,1,-0.0430839,-0.000661376
11,1,0.0205026,-0.00406274
12,1,-0.030291,-0.00859788
13,1,0.0530423,-0.0112434
14,1,0.00822511,-0.00396825
15,1,0.0336219,-0.0123016
16,1,-0.030969,-0.00587302
0,-1,0,0
1,-1,0.166667,0
2,-1,-0.133333,0.0138889
3,-1,0.0597222,-0.0112434
4,-1,-0.0347222,-0.00529101
5,-1,0,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.222222,0.010582
3,-1,-0.0854167,0.0114087
4,-1,-0.260417,0.015873
5,-1,0,0
0,1,0,0
1,1,-0.0166667,0.00694444
2,1,-0.0583333,0
3,1,0.105556,-0.00925926
4,1,0.00873016,0
5,1,0.0497024,0.00380291
6,1,0.0232143,0
0,-1,0,0
1,-1,0.166667,0
2,-1,-0.133333,0.0138889
3,-1,0.0597222,-0.0112434
4,-1,-0.0347222,-0.00529101
5,-1,0.11875,-0.014881
6,-1,0.161667,-0.0164683
7,-1,0.133889,-0.00886243
8,-1,0.0493561,-0.00228175
9,-1,0.0646154,0
10,-1,0.0290598,0
11,-1,0.0596154,-0.00357143
12,-1,0.00961538,-0.00357143
13,-1,0.0393773,-0.00357143
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,-1,0,0
1,-1,0.166667,0
2,-1,-0.133333,0.0138889
3,-1,-0.0111111,0.00231481
4,-1,-0.0444444,0
5,-1,0.0666667,-0.00595238
0,-1,0,0
1,-1,-0.0166667,0.00694444
2,-1,-0.0583333,0
3,-1,-0.00555556,0.00231481
4,-1,-0.1,0.0082672
5,-1,-0.0694444,0.0082672
0,1,0,0
1,1,0.166667,0
2,1,0,0
0,1,0,0
1,1,0.166667,0
2,1,0.0444444,-0.00462963
