step,winner,endpoint_factor,edge_factor
3,1,0.166667,0
4,1,0,-0.0138889
5,1,0.166667,-0.0138889
6,1,0,-0.0138889
7,1,0,-0.0138889
8,1,0,-0.0138889
9,1,0.166667,-0.0138889
10,1,0,-0.0238095
11,1,0,-0.0460317
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0289683
3,-1,0.133333,0.0178571
4,-1,-0.133333,0.0178571
5,-1,0,-0.00674603
6,-1,-0.0833333,-0.00396825
7,-1,0,0.0138889
8,-1,0,0.0138889
9,-1,0,0.0138889
10,-1,0,0.0138889
11,-1,0,0.00119048
12,-1,0,-0.00992063
13,-1,0,-0.0238095
14,-1,-0.166667,-0.0571429
15,-1,-0.166667,-0.0571429
16,-1,-0.166667,-0.0571429
17,-1,-0.166667,-0.107143
18,-1,-0.166667,-0.0972222
19,-1,-0.166667,-0.0972222
20,-1,0,-0.198413
21,-1,-0.166667,-0.222222
22,-1,-0.166667,-0.222222
23,-1,-0.166667,-0.222222
24,-1,0,-0.222222
25,-1,-0.166667,-0.222222
26,-1,-0.166667,-0.198413
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.166667,0
6,1,0,0
7,1,-0.133333,0
8,1,-0.133333,0
9,1,0,0
10,1,-0.133333,0
11,1,0,0
12,1,0,0
13,1,0,0
14,1,0,0.0488095
15,1,0.166667,0.0138889
16,1,0,0.0138889
17,1,0,0.031746
18,1,-0.166667,-0.0654762
19,1,0,-0.0654762
20,1,0,-0.0761905
21,1,0,-0.0261905
0,1,0,0
1,1,0.0833333,-0.0111111
2,1,0,0
3,1,0.190476,0.0238095
4,1,0,0
5,1,0,0.0444444
6,1,0,0.0333333
7,1,0,0.0722222
8,1,-0.166667,0.0722222
9,1,0,0.0722222
10,1,0,-0.00992063
11,1,0,-0.0178571
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0289683
3,-1,0,0.0178571
4,-1,-0.133333,0.0178571
5,-1,0,0.0178571
6,-1,-0.133333,-0.0376984
7,-1,0,-0.0376984
8,-1,0,-0.0357143
9,-1,0,-0.0277778
10,-1,0,-0.0277778
11,-1,0,-0.0277778
12,-1,0,-0.0277778
13,-1,0,-0.0277778
14,-1,0,-0.0238095
15,-1,0,-0.0349206
16,-1,0,-0.0349206
17,-1,0,-0.0376984
18,-1,0,-0.0376984
19,-1,0,0.0138889
20,-1,-0.166667,0.0138889
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.166667,0
6,1,0,-0.0138889
7,1,0,-0.031746
8,1,0,-0.031746
9,1,0,0.0178571
10,1,0,0.0178571
11,1,0,-0.0015873
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0289683
3,-1,0,0.0238095
4,-1,-0.166667,0.0238095
5,-1,0,0
6,-1,0,-0.0333333
7,-1,0,-0.0222222
8,-1,0,-0.0222222
9,-1,0,-0.0222222
10,-1,-0.0833333,-0.0222222
11,-1,0,-0.0138889
12,-1,0,-0.00595238
13,-1,0,0.0178571
14,-1,0,-0.0138889
0,-1,0,0
1,-1,-0.166667,0.0138889
2,-1,-0.333333,0.0206349
3,-1,0,0.0178571
4,-1,-0.0833333,0.0178571
5,-1,0,0
6,-1,0,0.0238095
7,-1,0.166667,0.0238095
8,-1,0,0.0238095
9,-1,0,0.0571429
10,-1,-0.166667,0.0710317
0,-1,0,0
1,-1,0.0833333,-0.0111111
2,-1,-0.133333,0
3,-1,0,-0.0138889
4,-1,0,-0.0138889
5,-1,0.166667,-0.0138889
6,-1,0,-0.0138889
7,-1,0,0.00992063
8,-1,0,0.00992063
9,-1,0,0.043254
10,-1,0,-0.0496032
11,-1,0,-0.0734127
12,-1,0,-0.0583333
13,-1,0,-0.0583333
14,-1,-0.166667,-0.0138889
0,-1,0,0
1,-1,0.0833333,-0.0111111
2,-1,-0.0833333,0
3,-1,0,-0.0178571
4,-1,0,-0.00396825
5,-1,0,-0.00396825
6,-1,-0.133333,-0.00396825
7,-1,-0.190476,-0.0376984
8,-1,-0.357143,-0.0138889
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.133333,0.0289683
3,-1,0,0.0238095
4,-1,-0.190476,0
5,-1,0,0.0333333
6,-1,-0.166667,0
7,-1,0,0.0833333
8,-1,-0.166667,0.0833333
9,-1,0,0.155556
10,-1,-0.166667,0.155556
11,-1,0,0.155556
12,-1,0,-0.00992063
13,-1,0,-0.0416667
14,-1,0,-0.0571429
15,-1,0.166667,-0.0638889
16,-1,0,-0.0638889
17,-1,0,-0.0909091
18,-1,-0.133333,-0.0972222
19,-1,0,-0.100733
20,-1,-0.166667,-0.090812
21,-1,0,-0.090812
22,-1,-0.166667,-0.0769231
23,-1,-0.166667,-0.040812
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.133333,0.0289683
3,1,0,0.0238095
4,1,-0.190476,0
5,1,0,0.0333333
6,1,-0.166667,0
7,1,0,0.0833333
8,1,-0.166667,0.0611111
9,1,0,0.133333
10,1,-0.166667,0.133333
11,1,0,0.133333
12,1,0,-0.0321429
13,1,0,-0.0777778
14,1,0,-0.0821429
15,1,0.166667,-0.0821429
0,-1,0,0
1,-1,-0.0833333,0.0111111
2,-1,-0.190476,0.025
3,-1,0,0.0138889
4,-1,-0.166667,-0.00992063
5,-1,0,0
6,-1,0,-0.0333333
7,-1,0,0
8,-1,0,-0.0833333
9,-1,0.166667,-0.0833333
10,-1,-0.0833333,-0.0833333
11,-1,0,-0.0138889
12,-1,0,0.0821429
13,-1,0,0.0821429
14,-1,-0.166667,0.0904762
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.166667,0
4,1,0,0
5,1,0.166667,0.0138889
6,1,-0.166667,0.0138889
7,1,0,0.00793651
8,1,0,-0.00595238
9,1,0.166667,-0.00595238
10,1,0,-0.0392857
11,1,0.133333,-0.0392857
12,1,0,-0.107143
13,1,0.166667,-0.125
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.133333,0.0178571
4,-1,0,-0.031746
5,-1,0,-0.0555556
6,-1,0,-0.0488095
7,-1,0,-0.025
8,-1,0,-0.025
9,-1,0,-0.025
10,-1,-0.0833333,-0.025
11,-1,0,-0.0238095
12,-1,-0.166667,-0.0238095
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.166667,0
4,-1,0,0
5,-1,0.166667,0
6,-1,0,0
7,-1,0,0
8,-1,0,0.0178571
9,-1,0,0.0178571
10,-1,-0.166667,0.0416667
11,-1,0,0.00992063
12,-1,-0.166667,0.0571429
13,-1,0,0.0571429
14,-1,-0.166667,0.0571429
15,-1,-0.166667,0.0472222
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,-0.133333,0
4,1,-0.133333,-0.0138889
5,1,0,-0.031746
6,1,0,-0.0178571
7,1,0,0.0154762
8,1,0,-0.0178571
9,1,0,0.121032
10,1,0,0.112698
11,1,0,0.112698
12,1,-0.166667,0.112698
13,1,0,0.112698
14,1,0,0.1
15,1,0,0.1
16,1,0,0.025
17,1,0,0.0238095
18,1,0,0.0102814
19,1,0,0.00757576
20,1,0,0.0178571
21,1,0.166667,0.0416667
22,1,0,0.0416667
23,1,0.166667,0.190476
24,1,0.166667,0
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.133333,0.0178571
4,1,0,0
5,1,0.133333,-0.0178571
6,1,0,0
7,1,0,0
8,1,-0.133333,0
9,1,0,0
10,1,0,-0.00833333
11,1,0.166667,-0.00833333
12,1,0,-0.0777778
13,1,0,0
14,1,0,-0.0416667
15,1,0,-0.00555556
16,1,0,-0.166667
17,1,0,-0.133333
18,1,0,-0.142857
19,1,0.166667,-0.142857
0,1,0,0
1,1,0.0833333,-0.0111111
2,1,-0.133333,0
3,1,0,-0.0138889
4,1,0,-0.0138889
5,1,0.166667,-0.0138889
6,1,0,-0.00119048
7,1,0,-0.0178571
8,1,0,-0.0428571
9,1,0,-0.0607143
10,1,0,-0.0496032
11,1,0.166667,-0.0496032
