step,winner,endpoint_factor,edge_factor
20,-1,-0.0369691,0
21,-1,0.053618,0
22,-1,0.0507079,-0.25
23,-1,0.0185622,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0178571
3,-1,-0.0380952,0.0416667
4,-1,-0.024127,0.0178571
5,-1,-0.00746032,0.0178571
6,-1,0.0373737,0.0178571
7,-1,0.0667388,0.0178571
8,-1,0.0616717,0.0178571
9,-1,0.0938339,0.0416667
10,-1,-0.0630952,0.0238095
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,0
4,1,0.0157407,0
5,1,0.0993717,0
6,1,0.00694444,0
7,1,0.0694949,0
8,1,0.0593579,0
9,1,0.100488,0
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,0
4,1,0.00648148,0
5,1,0.077381,0
6,1,0.0390212,0
7,1,0.0508225,0
8,1,-0.0101343,0
9,1,0.0398657,0
10,1,-0.0238815,-0.0238095
11,1,0.0419152,-0.0571429
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0178571
3,-1,0.0968254,0.0178571
4,-1,-0.0169643,0.0178571
5,-1,0.0559524,-0.0178571
6,-1,-0.0185714,-0.0178571
7,-1,0.0431349,0
8,-1,0.00998076,0
9,-1,0.0280333,0
10,-1,0.00513962,0
11,-1,0.040825,-0.0238095
12,-1,0.0602758,-0.0238095
13,-1,0.0742029,-0.0238095
14,-1,0.00714286,-0.0571429
15,-1,-0.0144345,-0.0571429
16,-1,0.0422399,-0.0571429
17,-1,0.00646373,-0.107143
18,-1,0.0435915,-0.0833333
19,-1,0.0095116,-0.0833333
20,-1,0.0295116,-0.166667
21,-1,-0.00128968,-0.166667
22,-1,-0.0132275,-0.190476
23,-1,-0.0198413,-0.190476
24,-1,0.00573192,-0.190476
25,-1,-0.0220459,-0.190476
26,-1,0.00131597,-0.166667
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,0
4,1,0,0
5,1,0.0847222,0
6,1,0.0118056,0
7,1,-0.052904,0
8,1,-0.0482323,0
9,1,0.0197619,0
10,1,-0.0426463,0
11,1,0.0199351,0
12,1,0.0367063,0
13,1,0.0646474,0
14,1,-0.0612179,0.0238095
15,1,-0.0320513,0
16,1,-0.080712,0
17,1,-0.0333333,0
18,1,-0.0313889,-0.0833333
19,1,0.0201263,-0.0833333
20,1,0.0301496,-0.133333
21,1,0.0508159,-0.05
0,1,0,0
1,1,0.0166667,0
2,1,0,0
3,1,0.121032,0.0238095
4,1,0.0365079,0
5,1,0.0499339,0.0333333
6,1,-0.0347884,0.0333333
7,1,0.0263709,0.0833333
8,1,-0.107711,0.0833333
9,1,-0.0577106,0.0833333
10,1,0.015,-0.0238095
11,1,0.0703175,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0178571
3,-1,0.0246032,0.0178571
4,-1,-0.0815476,0.0178571
5,-1,-0.00376984,0.0178571
6,-1,-0.0945106,-0.0238095
7,-1,-0.0121032,-0.0238095
8,-1,0.0171429,-0.0178571
9,-1,0.0347222,-0.0238095
10,-1,-0.0168376,-0.0416667
11,-1,0.0578571,-0.0416667
12,-1,-0.0156746,-0.0238095
13,-1,0.0214286,-0.0238095
14,-1,-0.0176871,-0.0238095
15,-1,-0.00504785,-0.0238095
16,-1,-0.0378765,-0.0238095
17,-1,0.00268988,-0.0238095
18,-1,-0.0622703,-0.0238095
19,-1,-0.0865575,0
20,-1,-0.100992,0
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,0
4,1,0,0
5,1,0.097123,0
6,1,0.0173611,0
7,1,0.0427778,0
8,1,-0.0216667,0
9,1,-0.0103846,0
10,1,0.00405983,0
11,1,0.0578283,-0.0333333
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0178571
3,-1,0.00376984,0.0238095
4,-1,-0.106548,0.0238095
5,-1,0,0
6,-1,-0.00171958,-0.0333333
7,-1,0.0151587,-0.0333333
8,-1,-0.0554491,-0.0333333
9,-1,-0.0194643,-0.0333333
10,-1,-0.0835317,-0.0333333
11,-1,-0.047619,0
12,-1,-0.0737528,0
13,-1,-0.0546939,0
14,-1,-0.0884921,0
0,-1,0,0
1,-1,-0.166667,0.0138889
2,-1,-0.222222,0.031746
3,-1,-0.0597222,0.0178571
4,-1,-0.064881,0.0178571
5,-1,-0.01875,0
6,-1,0.0365079,0.0238095
7,-1,0.097619,0.0238095
8,-1,0.0711905,0.0238095
9,-1,0.0178571,0.0571429
10,-1,-0.0696429,0.0571429
0,-1,0,0
1,-1,0.0166667,0
2,-1,-0.108333,0
3,-1,-0.0238095,0
4,-1,-0.0634921,0
5,-1,0.0714286,0
6,-1,-0.0198413,0
7,-1,-0.0722222,0.0238095
8,-1,-0.0854167,0.0238095
9,-1,-0.0710227,0.0571429
10,-1,-0.0204082,-0.0178571
11,-1,0.0428571,-0.0416667
12,-1,-0.00393991,-0.0333333
13,-1,0.0435185,-0.0333333
14,-1,0.00185185,0
0,-1,0,0
1,-1,0.0166667,0
2,-1,-0.0555556,0
3,-1,0.0674603,-0.0178571
4,-1,0.010582,-0.0178571
5,-1,0.012963,-0.0178571
6,-1,-0.122811,0
7,-1,-0.175265,-0.0238095
8,-1,-0.23082,0
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0178571
3,-1,0.00376984,0.0238095
4,-1,-0.113988,0
5,-1,0.00171958,0.0333333
6,-1,-0.0804233,0
7,-1,-0.0292328,0.0833333
8,-1,-0.106349,0.0833333
9,-1,-0.0360029,0.166667
10,-1,-0.0669553,0.166667
11,-1,0.002886,0.166667
12,-1,0.0646284,-0.0238095
13,-1,0.101987,-0.0416667
14,-1,0.08519,-0.0571429
15,-1,0.12396,-0.075
16,-1,0.0250256,-0.075
17,-1,-0.0202165,-0.125
18,-1,-0.0656349,-0.107143
19,-1,-0.0117708,-0.107143
20,-1,-0.0641414,-0.107143
21,-1,0.0033197,-0.107143
22,-1,-0.0670242,-0.107143
23,-1,-0.0064782,-0.075
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.0253968,0.0178571
3,1,0.00376984,0.0238095
4,1,-0.113988,0
5,1,0.00171958,0.0333333
6,1,-0.0804233,0
7,1,-0.0292328,0.0833333
8,1,-0.0551587,0.05
9,1,0.027381,0.133333
10,1,-0.00873016,0.133333
11,1,0.0712963,0.133333
12,1,0.0845238,-0.0571429
13,1,0.124405,-0.0888889
14,1,0.0694444,-0.107143
15,1,0.113834,-0.107143
0,-1,0,0
1,-1,-0.0166667,0
2,-1,-0.126984,0
3,-1,-0.0198413,0
4,-1,-0.126488,-0.0238095
5,-1,0,0
6,-1,-0.0037037,-0.0333333
7,-1,0.00444444,0
8,-1,-0.0233333,-0.0833333
9,-1,0.02,-0.0833333
10,-1,-0.055,-0.0833333
11,-1,-0.10119,0
12,-1,-0.0951531,0.0571429
13,-1,-0.0650298,0.0571429
14,-1,-0.141766,0.0571429
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,0
4,1,0.0157407,0
5,1,0.0993717,0
6,1,-0.0965079,0
