step,winner,endpoint_factor,edge_factor
8,-1,0.0685714,-0.0138889
9,-1,0.0850916,-0.0148148
10,-1,0.0213065,-0.00727513
11,-1,0.0146825,-0.00925926
12,-1,-0.000170068,-0.00493197
13,-1,0.0271825,-0.00952381
14,-1,0.0055102,-0.00351474
15,-1,0.00769231,-0.014059
16,-1,-0.0927885,0.00655864
17,-1,-0.0282585,-0.00262897
18,-1,0.0041336,-0.00562169
19,-1,0.0172568,0.00576105
20,-1,-0.0369691,0.00880811
21,-1,0.053618,-0.00667989
22,-1,0.0507079,-0.0414021
23,-1,0.0185622,0.000811688
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,-0.0380952,0.0451389
4,-1,-0.024127,0.0234127
5,-1,-0.00746032,0.0117063
6,-1,0.0373737,0.00410053
7,-1,0.0667388,0.000297619
8,-1,0.0616717,-0.00198413
9,-1,0.0938339,0.000462963
10,-1,-0.0630952,0.0130952
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0.0157407,0
5,1,0.0993717,-0.00843254
6,1,0.00694444,0
7,1,0.0694949,-0.00644841
8,1,0.0593579,-0.00992063
9,1,0.100488,-0.0154762
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0.00648148,0
5,1,0.077381,-0.00843254
6,1,0.0390212,-0.00489418
7,1,0.0508225,-0.00753968
8,1,-0.0101343,-0.0014881
9,1,0.0398657,-0.00446429
10,1,-0.0238815,-0.00212585
11,1,0.0419152,-0.0118481
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,0.0968254,0.00198413
4,-1,-0.0169643,0.0124008
5,-1,0.0559524,-0.00562169
6,-1,-0.0185714,0.00198413
7,-1,0.0431349,-0.00337302
8,-1,0.00998076,-0.000330688
9,-1,0.0280333,-0.00284392
10,-1,0.00513962,-0.000340136
11,-1,0.040825,-0.00576342
12,-1,0.0602758,-0.00793651
13,-1,0.0742029,-0.00956633
14,-1,0.00714286,-0.0183107
15,-1,-0.0144345,-0.0196925
16,-1,0.0422399,-0.023082
17,-1,0.00646373,-0.0221718
18,-1,0.0435915,-0.0255385
19,-1,0.0095116,-0.0192956
20,-1,0.0295116,-0.0297123
21,-1,-0.00128968,-0.0295139
22,-1,-0.0132275,-0.0266446
23,-1,-0.0198413,-0.0323589
24,-1,0.00573192,-0.0520723
25,-1,-0.0220459,-0.0525132
26,-1,0.00131597,-0.0526455
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0,0
5,1,0.0847222,-0.00694444
6,1,0.0118056,0
7,1,-0.052904,0.00287698
8,1,-0.0482323,0.00406746
9,1,0.0197619,-0.00357143
10,1,-0.0426463,0.00443122
11,1,0.0199351,-0.00221088
12,1,0.0367063,-0.00595238
13,1,0.0646474,-0.00997024
14,1,-0.0612179,0.00972222
15,1,-0.0320513,0.00727513
16,1,-0.080712,0.0106647
17,1,-0.0333333,0.00143298
18,1,-0.0313889,-0.0204365
19,1,0.0201263,-0.0183862
20,1,0.0301496,-0.0326455
21,1,0.0508159,-0.0195767
0,1,0,0
1,1,0.0166667,-0.00694444
2,1,0,0
3,1,0.121032,-0.0132275
4,1,0.0365079,0
5,1,0.0499339,0.00433201
6,1,-0.0347884,0.0152116
7,1,0.0263709,0.0093254
8,1,-0.107711,0.0257937
9,1,-0.0577106,0.0277778
10,1,0.015,-0.0047619
11,1,0.0703175,-0.00707672
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,0.0246032,0.00661376
4,-1,-0.0815476,0.015873
5,-1,-0.00376984,0.00479497
6,-1,-0.0945106,0.00843254
7,-1,-0.0121032,-0.0014881
8,-1,0.0171429,-0.00496032
9,-1,0.0347222,-0.00975529
10,-1,-0.0168376,-0.00601852
11,-1,0.0578571,-0.0162698
12,-1,-0.0156746,-0.00453515
13,-1,0.0214286,-0.00793651
14,-1,-0.0176871,-0.00134637
15,-1,-0.00504785,-0.00297619
16,-1,-0.0378765,-0.00137787
17,-1,0.00268988,-0.00766093
18,-1,-0.0622703,4.96032e-05
19,-1,-0.0865575,0.00997024
20,-1,-0.100992,0.0105655
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0,0
5,1,0.097123,-0.00843254
6,1,0.0173611,0
7,1,0.0427778,-0.00297619
8,1,-0.0216667,0.00277778
9,1,-0.0103846,-0.000793651
10,1,0.00405983,0
11,1,0.0578283,-0.0152778
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,0.00376984,0.0125661
4,-1,-0.106548,0.0233135
5,-1,0,0
6,-1,-0.00171958,-0.014914
7,-1,0.0151587,-0.0199735
8,-1,-0.0554491,-0.00714286
9,-1,-0.0194643,-0.0118056
10,-1,-0.0835317,0.00238095
11,-1,-0.047619,0.00446429
12,-1,-0.0737528,0.00744048
13,-1,-0.0546939,0.0130952
14,-1,-0.0884921,0.0160384
0,-1,0,0
1,-1,-0.166667,0.0138889
2,-1,-0.222222,0.031746
3,-1,-0.0597222,0.0112434
4,-1,-0.064881,0.015873
5,-1,-0.01875,0.00446429
6,-1,0.0365079,0.00363757
7,-1,0.097619,-0.00545635
8,-1,0.0711905,-0.00436508
9,-1,0.0178571,0.014418
10,-1,-0.0696429,0.0180886
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.108333,0.00694444
3,-1,-0.0238095,0.00231481
4,-1,-0.0634921,0.00462963
5,-1,0.0714286,-0.015873
6,-1,-0.0198413,-0.00181878
7,-1,-0.0722222,0.0198413
8,-1,-0.0854167,0.022123
9,-1,-0.0710227,0.0276786
10,-1,-0.0204082,0.000755858
11,-1,0.0428571,-0.00992063
12,-1,-0.00393991,-0.00185658
13,-1,0.0435185,-0.0203704
14,-1,0.00185185,-0.0148148
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.0555556,0.00925926
3,-1,0.0674603,-0.0112434
4,-1,0.010582,-0.00595238
5,-1,0.012963,-0.0082672
6,-1,-0.122811,0.0107143
7,-1,-0.175265,0.0224868
8,-1,-0.23082,0.0304233
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,0.00376984,0.0125661
4,-1,-0.113988,0.0262897
5,-1,0.00171958,0.014914
6,-1,-0.0804233,0.0267857
7,-1,-0.0292328,0.0337302
8,-1,-0.106349,0.0416667
9,-1,-0.0360029,0.0411706
10,-1,-0.0669553,0.047123
11,-1,0.002886,0.0305556
12,-1,0.0646284,-0.0174107
13,-1,0.101987,-0.0195767
14,-1,0.08519,-0.0249559
15,-1,0.12396,-0.0336199
16,-1,0.0250256,-0.0223304
17,-1,-0.0202165,-0.0148629
18,-1,-0.0656349,-0.0119048
19,-1,-0.0117708,-0.0158472
20,-1,-0.0641414,-0.00780251
21,-1,0.0033197,-0.0130732
22,-1,-0.0670242,-0.00807319
23,-1,-0.0064782,-0.00628507
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.0253968,0.0224868
3,1,0.00376984,0.0125661
4,1,-0.113988,0.0262897
5,1,0.00171958,0.014914
6,1,-0.0804233,0.0267857
7,1,-0.0292328,0.0337302
8,1,-0.0551587,0.0361111
9,1,0.027381,0.0337963
10,1,-0.00873016,0.0421296
11,1,0.0712963,0.00907407
12,1,0.0845238,-0.0242063
13,1,0.124405,-0.0284722
14,1,0.0694444,-0.0229277
15,1,0.113834,-0.0264991
0,-1,0,0
1,-1,-0.0166667,0.00694444
2,-1,-0.126984,0.00925926
3,-1,-0.0198413,0.00529101
4,-1,-0.126488,0.0178571
5,-1,0,0
6,-1,-0.0037037,-0.014914
7,-1,0.00444444,-0.00886243
8,-1,-0.0233333,-0.0196429
9,-1,0.02,-0.0255952
10,-1,-0.055,-0.0130952
11,-1,-0.10119,0.0133598
12,-1,-0.0951531,0.0143282
13,-1,-0.0650298,0.0140873
14,-1,-0.141766,0.0208829
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0.0157407,0
5,1,0.0993717,-0.00843254
6,1,-0.0965079,0.00489418
7,1,0.0224206,-0.014881
8,1,-0.000396825,-0.0125661
9,1,0.0839002,-0.0216837
10,1,0.0386621,-0.0212207
11,1,0.110913,-0.0274802
12,1,0.0546627,-0.0302579
13,1,0.0676587,-0.0222506
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.0638889,-0.00330688
4,-1,0.0333333,-0.00446429
5,-1,0.0976852,-0.0196759
6,-1,-0.0261111,0.00132275
7,-1,0.0541667,-0.00793651
8,-1,-0.00885642,0.0014881
9,-1,0.0452381,-0.00634921
10,-1,-0.0475447,0.00198413
11,-1,0.00349928,-0.00462963
12,-1,-0.0408215,0.00250378
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.0972222,-0.00925926
4,-1,0,0
5,-1,0.097123,-0.00843254
6,-1,0.0222222,0
7,-1,0.0247024,-0.00446429
8,-1,-0.0111111,0.000297619
9,-1,0.0516667,-0.00634921
10,-1,-0.118611,0.020172
11,-1,-0.0603175,0.0125661
12,-1,-0.0955357,0.0196334
13,-1,-0.0356293,0.0135488
14,-1,-0.059964,0.0188776
15,-1,-0.0361545,0.0154762
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,-0.0865079,0.00925926
4,1,-0.106349,0.0122354
5,1,-0.0444444,0.00462963
6,1,-0.0664352,0.00925926
7,1,0.00803571,0.00386905
8,1,-0.0609127,0.00950397
9,1,-0.0157509,0.0193452
10,1,-0.0574603,0.0192989
11,1,0.0268367,0.0037415
12,1,-0.0210601,0.00887188
13,1,0.0305556,0.00383598
14,1,-0.0185941,0.00986395
15,1,0.0384861,0.000947972
16,1,-0.000210553,0.00520833
17,1,0.0170522,0.000551146
18,1,0.0105672,0
19,1,0.0684198,-0.0103039
20,1,0.0159572,-0.0103616
21,1,0.0341833,-0.0140653
22,1,0.0249241,-0.0156085
23,1,0.0434129,-0.00388007
24,1,0.0416645,-0.0427282
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0638889,-0.00330688
4,1,0,0
5,1,0.0551587,-0.00595238
6,1,0.0190476,0.000992063
7,1,2.77556e-17,0
8,1,-0.129167,0.0208333
9,1,-0.0197421,-0.00165344
10,1,0.00576923,-0.0214569
11,1,0.107643,-0.0494048
12,1,0.0252633,-0.0496528
13,1,0.0315448,-0.0236993
14,1,-0.0310471,0.0062004
15,1,0.0125048,0.000555556
16,1,-0.00297378,-0.0234001
17,1,0.0299241,-0.0237925
18,1,0.0220757,-0.0172619
19,1,0.0470757,-0.0166369
0,1,0,0
1,1,0.0166667,-0.00694444
2,1,-0.108333,0.00694444
3,1,-0.0238095,0.00231481
4,1,-0.0634921,0.00462963
5,1,0.0714286,-0.015873
6,1,-0.0185185,0.00727513
7,1,-0.0238095,0.00529101
8,1,0.0456349,-0.00231481
9,1,0.0956349,-0.0117394
10,1,0.0787698,-0.0117394
11,1,0.11627,-0.0154101
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.106349,-0.0122354
4,-1,0,0
5,-1,0,0
6,-1,-0.0763889,0.00992063
7,-1,0.0766667,-0.00489418
8,-1,-0.0388889,0.0082672
9,-1,-0.0314484,0.0041336
10,-1,-0.0338095,0.00026455
11,-1,0.00785714,0.00271164
12,-1,-0.0113095,0.00165344
13,-1,0.0303571,0.00165344
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0,0
5,1,0.0780754,-0.00843254
6,1,-0.0277778,0.0125661
7,1,0.0538961,0.00428571
8,1,-0.0559848,0.0123214
9,1,0.032265,-0.000562169
10,1,0.0380983,0.00444444
11,1,0.0769414,-0.00379819
12,1,-0.0361961,0.0325302
13,1,0.0137605,0.0319728
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.108333,0.00694444
3,-1,-0.0238095,0.00231481
4,-1,-0.0982143,0.014881
5,-1,0.0537698,-0.00975529
6,-1,0.00168651,-0.00446429
7,-1,0.0180556,-0.00347222
8,-1,-0.0383207,0.00386905
9,-1,-0.0570335,0.0145503
10,-1,-0.0542419,0.00859788
0,1,0,0
1,1,0.0166667,-0.00694444
2,1,-0.0555556,0.00925926
3,1,0.0674603,-0.0112434
4,1,-0.0982143,0.014881
5,1,-0.00661376,0.00727513
6,1,-0.0185185,0.00727513
7,1,0.10873,-0.00545635
8,1,0.00793651,0.00562169
9,1,0.070172,-0.00198413
10,1,-0.0234127,0.00628307
11,1,0.015873,0.00396825
12,1,-0.0321429,0.00952381
13,1,0.0261905,0.0047619
14,1,-0.00853175,0.0138889
15,1,0.00969742,0.0114914
16,1,-0.0226899,0.0125779
17,1,0.0130244,0.0105938
18,1,-0.00312421,0.0140275
19,1,0.0325901,0.0124402
20,1,0.0448579,0.0216994
21,1,0.0488776,0.0168934
22,1,0.0133929,0.00930556
23,1,0.0467262,0.00756944
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.108333,0.00694444
3,-1,0.0111111,-0.00462963
4,-1,-0.0722222,0.00462963
5,-1,0.0430556,0.000330688
6,-1,0.0419841,-0.00489418
7,-1,0.0706349,-0.0152116
8,-1,0.0232426,-0.0123772
9,-1,0.0595238,-1.38778e-17
10,-1,-0.0489796,0.00614135
11,-1,0.0228175,-0.00248016
12,-1,-0.0273526,0.00382653
13,-1,0.0314815,-0.00489418
14,-1,-0.0214286,0.00147392
15,-1,0.0304233,-0.00434618
16,-1,-0.071164,0.0050548
17,-1,-0.0204365,-0.00787037
18,-1,-0.0616402,-0.000699169
0,1,0,0
1,1,-0.0166667,0.00694444
2,1,-0.126984,0.00925926
3,1,-0.0706349,0.00462963
4,1,-0.0684524,0.00694444
5,1,-0.0490741,0.00347222
6,1,-2.77556e-17,0
7,1,0.0472403,-0.00208333
8,1,-0.00634921,0.0047619
9,1,0.0460913,0.000892857
10,1,0.0674002,0.0014881
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,-0.108333,0.00694444
3,-1,-0.0238095,0.00231481
4,-1,-0.0305556,-0.00132275
5,-1,0.106548,-0.0203373
6,-1,0.0527778,-0.0112434
7,-1,0.0844444,-0.0148148
8,-1,-0.01875,0.0031746
9,-1,0.0538889,-0.00634921
10,-1,-0.0236111,0.00595238
11,-1,0.0819048,-0.00714286
12,-1,0.0476984,-0.00667989
13,-1,0.0893651,-0.00621693
14,-1,0.00436508,-0.00132275
15,-1,0.0460317,-0.00132275
16,-1,-0.00892857,0.00659722
17,-1,0.0416667,-0.00467687
18,-1,0.00644841,-0.00198413
19,-1,0.0284392,0.000440917
20,-1,-0.0278571,0.00469577
0,-1,0,0
1,-1,0.0166667,-0.00694444
2,-1,0,0
3,-1,0.0597222,-0.0112434
4,-1,0,0
5,-1,0.0388889,-0.0047619
6,-1,0,0
7,-1,-0.1125,0.015873
8,-1,-0.199337,0.0188492
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0.108333,-0.00694444
3,1,0.243056,-0.031746
4,1,0.0944444,-0.0165344
5,1,0.118056,-0.0256283
6,1,0.0243056,-0.0125661
7,1,0.107778,-0.014418
8,1,0.0355556,-0.0116402
9,1,0.0911111,-0.0209524
10,1,0.00429293,-0.0126653
11,1,0.0876263,-0.0182209
0,1,0,0
1,1,-0.166667,0.0138889
2,1,0,0
3,1,0.0722222,-0.00231481
4,1,0.0333333,-0.00446429
5,1,0.0976852,-0.0196759
6,1,-0.0666667,0.00694444
7,1,0.0466667,-0.00585317
8,1,-0.0385714,-0.00198413
9,1,0.0525397,0.00601852
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.0253968,0.0224868
3,-1,0.0638889,-0.00330688
4,-1,-0.116667,0.0248016
5,-1,0.05,-0.00396825
6,-1,0.0402381,-0.00714286
7,-1,0.0357738,-0.00188492
8,-1,-0.0261111,0.0047619
9,-1,0.037963,-0.00297619
10,-1,-0.0287037,0.00330688
11,-1,0.0095805,-0.00231481
12,-1,-0.00175737,-0.0107143
13,-1,-0.0303793,0.00432256
14,-1,-0.0340449,0.00277778
15,-1,0.0187392,-0.00364072
16,-1,-0.023763,0.00239198
17,-1,0.00376568,-0.00559163
18,-1,-0.0328477,-0.00128517
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.0253968,0.0224868
3,1,0.00376984,0.0125661
4,1,-0.106548,0.0233135
5,1,-0.0444444,0.0127315
6,1,-0.169444,0.0309524
7,1,-0.0722222,0.0198413
8,1,-0.136797,0.0252976
9,1,-0.0585714,0.0177778
10,1,-0.07,0.0213492
11,1,-0.00878307,0.0116402
12,1,-0.0317857,0.013955
13,1,-0.00366126,0.00867347
14,1,-0.0740639,0.0201058
15,1,-0.0421856,0.0110922
16,1,-0.0392342,0.00954034
17,1,-0.0128141,0.00780423
18,1,-0.0485672,0.013707
19,1,-0.00850631,0.00575397
20,1,-0.0143274,0.0140653
21,1,0.0275534,-0.00302973
22,1,-0.00972222,0.00357694
23,1,0.0376723,0.00391865
24,1,-0.0247317,0.0200992
25,1,0.0251767,0.016351
26,1,0.0150136,0.00253728
27,1,-0.00783272,0.00634039
28,1,-0.00996032,0.00146465
29,1,0.0248016,0.0059596
30,1,-0.00441378,0.00934803
31,1,-0.00646051,0.0102571
32,1,-0.0276895,0.00961279
33,1,-0.00762821,0.0109259
34,1,-0.0231725,0.0120341
35,1,-0.0217293,0.0236424
36,1,-0.0365577,0.0271777
37,1,0.0546139,-0.0117621
38,1,0.0214894,-0.0154802
39,1,0.0492508,-0.0132501
40,1,0.00461839,-0.0125408
41,1,0.0290142,-0.0108447
42,1,0.0040142,-0.0107226
43,1,0.0365922,-0.0133284
0,1,0,0
1,1,-0.0333333,0.0178571
2,1,-0.0253968,0.0224868
3,1,0.0968254,0.00198413
4,1,-0.0169643,0.0124008
5,1,0.0789683,0.00281085
6,1,0.0343651,0.00648148
7,1,0.0630411,0.00833333
8,1,-0.00515457,0.0154431
9,1,-0.011134,0.0174272
10,1,-0.0254358,0.0122591
11,1,0.0482184,0.000529101
12,1,0.00534188,0.00694444
13,1,0.00694444,0.00290533
14,1,0.0111111,-0.0021542
15,1,0.037037,-0.00925926
16,1,-0.00833333,-0.0032124
17,1,0.0405483,0.00459184
18,1,0.0463585,-0.00498866
19,1,0.0645507,-0.0103741
20,1,0.0639223,-0.0148384
21,1,0.0896085,-0.0178949
22,1,0.0237744,-0.00855379
23,1,0.0491038,-0.0118607
24,1,0.0259556,-0.0137125
25,1,0.0435482,-0.0157187
26,1,0.0016934,-0.0120635
27,1,0.0266934,-0.0120635
28,1,0.0016934,-0.0120635
29,1,0.0498752,-0.0161219
30,1,0.027148,-0.0140007
31,1,0.0656382,-0.0129562
32,1,0.0496838,-0.0155915
33,1,0.0894743,-0.0170546
34,1,0.0621595,-0.017985
35,1,0.0656494,-0.00768513
36,1,0.0107998,-0.00333757
37,1,0.0406984,-0.00533747
0,1,0,0
1,1,0.166667,-0.0138889
2,1,0,0
3,1,0.0972222,-0.00925926
4,1,0.00648148,0
5,1,0.0912698,-0.00992063
6,1,0.0381944,-0.00347222
7,1,0.0203463,-0.00347222
8,1,-0.00348304,0.000396825
9,1,0.0126068,-0.00277778
10,1,-0.0349521,0.00257937
11,1,0.0121633,-0.00231481
12,1,-0.0274573,0.00514928
13,1,2.77556e-17,0
14,1,-0.00944529,0.00219671
15,1,-0.0200609,0.00786565
16,1,-0.00955215,0.00131094
17,1,0.026892,-0.00428713
18,1,-0.0202664,-0.000127551
19,1,0.00428713,-0.0040958
20,1,0.00182179,-0.0102116
21,1,0.0582519,-0.0150022
22,1,-0.0137566,-0.000170855
23,1,0.0340278,-0.00279431
24,1,0.0186343,0.000518078
25,1,0.0488261,-0.00512015
26,1,0.012037,-0.00154321
0,-1,0,0
1,-1,0.166667,-0.0138889
2,-1,0,0
3,-1,0.106349,-0.0122354
4,-1,0.0958333,-0.0233135
5,-1,0.0858333,-0.0255952
6,-1,0.0236111,-0.0094246
7,-1,0.143519,-0.0284392
8,-1,0.0611111,-0.0185516
9,-1,0.0706019,-0.020668
10,-1,0.0157407,-0.0121032
11,-1,-0.0308905,0.00890023
12,-1,-0.0387188,0.00982615
13,-1,0.00133929,0.00570437
14,-1,-0.0418367,0.0104875
15,-1,-0.00418793,0.00570437
16,-1,-0.0169102,0.00744048
17,-1,0.0156899,0.00520833
18,-1,-0.0101038,0.00507055
19,-1,0.018023,0.00235891
20,-1,0.000430403,0.00347002
21,-1,0.00878057,0.00585097
22,-1,-0.0130678,0.00555556
23,-1,0.00694892,0.00301427
24,-1,-0.0258605,0.00734455
0,-1,0,0
1,-1,-0.0333333,0.0178571
2,-1,-0.222222,0.010582
3,-1,0.08125,-0.00595238
4,-1,0.0104167,-0.00248016
5,-1,0.147222,-0.0178571
6,-1,-0.0590278,0.0147156
7,-1,-0.0458333,0.0222222
8,-1,-0.101806,0.0301587
9,-1,-0.065,0.0213492
10,-1,-0.0801515,0.024127
11,-1,-0.0881944,0.0292989
12,-1,-0.0973485,0.0308862
13,-1,-0.0441558,0.0227891
14,-1,-0.035119,0.00340136
