step,winner,endpoint_factor,edge_factor
3,1,1,17
4,1,0,0
5,1,-3,17
6,1,-4,0
7,1,-1,17
8,1,0,0
9,1,-2,0
10,1,-2,0
11,1,0,32
0,-1,0,0
1,-1,-3,-17
2,-1,-8,-34
3,-1,-3,-17
4,-1,-2,-34
5,-1,0,0
6,-1,5,17
7,-1,10,32
8,-1,13,15
9,-1,11,17
10,-1,0,-30
11,-1,-2,-28
12,-1,-1,-45
13,-1,4,-32
14,-1,-5,-77
0,-1,0,0
1,-1,1,-17
2,-1,0,-34
3,-1,1,-17
4,-1,-4,-34
5,-1,-6,-32
6,-1,-3,-15
7,-1,-2,2
8,-1,-7,-15
9,-1,-9,-47
10,-1,2,-38
0,-1,0,0
1,-1,3,17
2,-1,4,0
3,-1,5,17
4,-1,4,0
5,-1,6,34
6,-1,7,17
7,-1,10,-2
8,-1,7,-19
9,-1,7,-19
10,-1,-12,-60
11,-1,-14,-24
12,-1,-11,-41
13,-1,-10,8
14,-1,-8,4
0,-1,0,0
1,-1,3,17
2,-1,-4,-32
3,-1,-1,17
4,-1,-2,0
5,-1,3,17
6,-1,0,-32
7,-1,5,-49
8,-1,7,-53
0,-1,0,0
1,-1,-3,-17
2,-1,-8,-34
3,-1,-3,-17
4,-1,-2,-34
5,-1,-5,-17
6,-1,-16,-64
7,-1,-11,-49
8,-1,-8,-66
9,-1,-11,-49
10,-1,-9,-49
11,-1,-10,-32
12,-1,-31,-41
13,-1,-42,-52
14,-1,-42,-50
15,-1,-43,-36
16,-1,-48,-90
17,-1,-40,-96
18,-1,-41,-121
19,-1,-38,-70
20,-1,-10,-76
21,-1,-7,-16
22,-1,3,-26
23,-1,6,36
0,1,0,0
1,1,-3,-17
2,1,-8,-34
3,1,-3,-17
4,1,-2,-34
5,1,-5,-17
6,1,-16,-64
7,1,-11,-49
8,1,-11,-51
9,1,-14,-32
10,1,-12,-32
11,1,-3,17
12,1,-24,-24
13,1,-35,-35
14,1,-37,-69
15,1,-40,-52
0,-1,0,0
1,-1,-3,-17
2,-1,-4,-34
3,-1,-3,-17
4,-1,-2,-34
5,-1,0,0
6,-1,5,17
7,-1,10,32
8,-1,5,17
9,-1,3,17
10,-1,4,0
11,-1,19,9
12,-1,25,35
13,-1,28,50
14,-1,31,29
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,1,17
4,1,-2,0
5,1,-3,17
6,1,12,26
7,1,12,58
8,1,14,58
9,1,17,75
10,1,12,60
11,1,9,79
12,1,8,64
13,1,-9,23
0,-1,0,0
1,-1,-1,17
2,-1,0,0
3,-1,3,17
4,-1,-8,-28
5,-1,-5,21
6,-1,-6,-28
7,-1,-4,6
8,-1,-5,-11
9,-1,-4,6
10,-1,-5,-15
11,-1,-4,2
12,-1,-5,-15
0,-1,0,0
1,-1,-1,17
2,-1,0,0
3,-1,1,17
4,-1,0,0
5,-1,-3,17
6,-1,-4,0
7,-1,-4,0
8,-1,-7,-17
9,-1,-8,0
10,-1,13,-25
11,-1,14,-6
12,-1,15,-25
13,-1,16,-8
14,-1,18,-10
15,-1,16,-6
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,-1,-17
4,1,1,-17
5,1,2,0
6,1,1,-17
7,1,0,0
8,1,3,-17
9,1,14,26
10,1,5,-23
11,1,6,26
12,1,7,9
13,1,10,26
14,1,8,-8
15,1,11,41
16,1,0,-4
17,1,1,13
18,1,-4,-2
19,1,-5,53
20,1,-12,-2
21,1,-12,0
22,1,-12,0
23,1,-12,2
24,1,-12,42
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,3,17
4,1,0,0
5,1,3,17
6,1,0,0
7,1,0,0
8,1,7,-25
9,1,10,26
10,1,9,41
11,1,11,75
12,1,12,56
13,1,17,71
14,1,16,22
15,1,21,76
16,1,2,32
17,1,1,50
18,1,2,36
19,1,0,38
0,1,0,0
1,1,3,17
2,1,4,0
3,1,5,17
4,1,4,0
5,1,6,34
6,1,-1,-13
7,1,-12,-60
8,1,-13,-41
9,1,-14,-22
10,1,-14,-22
11,1,-13,-5
0,-1,0,0
1,-1,-1,17
2,-1,0,0
3,-1,-1,17
4,-1,0,0
5,-1,0,0
6,-1,1,-19
7,-1,-8,-28
8,-1,-7,-45
9,-1,-4,-28
10,-1,-1,-13
11,-1,-3,-13
12,-1,2,0
13,-1,0,2
0,1,0,0
1,1,-1,17
2,1,0,0
3,1,1,17
4,1,0,0
5,1,-1,17
6,1,9,13
7,1,8,30
8,1,9,9
9,1,6,32
10,1,3,17
11,1,4,32
12,1,5,-21
13,1,4,0
0,-1,0,0
1,-1,3,17
2,-1,4,0
3,-1,5,17
4,-1,-2,-32
5,-1,1,17
6,-1,0,0
7,-1,0,0
8,-1,-1,-17
9,-1,-2,-32
10,-1,3,-17
0,1,0,0
1,1,3,17
2,1,-4,-32
3,1,-1,17
4,1,-2,-32
5,1,-3,-15
6,1,-1,-13
7,1,-4,8
8,1,-9,-43
9,1,-8,-26
10,1,5,-17
11,1,6,0
12,1,8,-2
13,1,7,15
14,1,11,11
15,1,12,28
16,1,13,11
17,1,11,13
18,1,14,30
19,1,12,32
20,1,10,32
21,1,15,48
22,1,16,30
23,1,14,34
0,-1,0,0
1,-1,3,17
2,-1,4,0
3,-1,5,17
4,-1,4,0
5,-1,-7,-13
6,-1,-12,-28
7,-1,-19,-41
8,-1,-20,-58
9,-1,-11,-43
10,-1,-10,-60
11,-1,-10,-26
12,-1,-11,-43
13,-1,-9,-9
14,-1,-8,-26
15,-1,-11,-9
16,-1,1,-17
17,-1,-2,2
18,-1,-3,-15
0,1,0,0
1,1,-3,-17
2,1,-4,-34
3,1,-1,-17
4,1,-4,-34
5,1,-1,-17
6,1,0,-2
7,1,-1,15
8,1,2,-2
9,1,5,17
10,1,4,30
0,-1,0,0
1,-1,3,17
