Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
[5]     89.5    0.03    1.20  332164         Position::DoMove(Move, Position*) const [5]
                0.09    0.97  332164/332164      Position::FillForcedPieces(int, int) [6]
                0.04    0.07  332164/332164      void std::fill<Piece*, Piece>(Piece*, Piece*, Piece const&) [10]
                0.02    0.00 8205247/39702564     Position::at(int, int) [12]
                0.01    0.00 7873083/58482184     Position::at(int, int) const [15]
-----------------------------------------------
                0.09    0.97  332164/332164      Position::DoMove(Move, Position*) const [5]
[6]     77.0    0.09    0.97  332164         Position::FillForcedPieces(int, int) [6]
                0.41    0.36 6043828/6284178     Position::GetPossiblePieces(int, int) const [7]
                0.00    0.09  532426/532426      Position::FillWinnerFlags(int, int) [14]
                0.04    0.00 14735416/39702564     Position::at(int, int) [12]
                0.01    0.01 12087656/18371834     std::bitset<7ul>::count() const [22]
                0.00    0.02 6043828/6284178     std::bitset<7ul>::reset(unsigned long) [30]
                0.00    0.01  788870/3992566     std::bitset<7ul>::test(unsigned long) const [17]
-----------------------------------------------
                0.02    0.01  240350/6284178     Position::GenerateMoves() const [11]
                0.41    0.36 6043828/6284178     Position::FillForcedPieces(int, int) [6]
[7]     59.0    0.43    0.38 6284178         Position::GetPossiblePieces(int, int) const [7]
                0.04    0.23 43304754/43304754     std::bitset<7ul>::set(unsigned long, bool) [8]
                0.07    0.00 50273424/58482184     Position::at(int, int) const [15]
                0.00    0.02 1521246/3992566     std::bitset<7ul>::test(unsigned long) const [17]
                0.01    0.01 6284178/18371834     std::bitset<7ul>::count() const [22]
-----------------------------------------------
                0.04    0.23 43304754/43304754     Position::GetPossiblePieces(int, int) const [7]
[8]     20.0    0.04    0.23 43304754         std::bitset<7ul>::set(unsigned long, bool) [8]
                0.11    0.08 43304754/43304754     std::bitset<7ul>::_Unchecked_set(unsigned long, int) [9]
                0.04    0.00 43304754/53581498     std::bitset<7ul>::_M_check(unsigned long, char const*) const [20]
-----------------------------------------------
                0.11    0.08 43304754/43304754     std::bitset<7ul>::set(unsigned long, bool) [8]
[9]     14.1    0.11    0.08 43304754         std::bitset<7ul>::_Unchecked_set(unsigned long, int) [9]
                0.03    0.02 43304754/53581498     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [18]
                0.03    0.00 43304754/49588932     std::_Base_bitset<1ul>::_M_getword(unsigned long) [21]
-----------------------------------------------
                0.04    0.07  332164/332164      Position::DoMove(Move, Position*) const [5]
[10]     8.0    0.04    0.07  332164         void std::fill<Piece*, Piece>(Piece*, Piece*, Piece const&) [10]
                0.07    0.00  332164/332164      __gnu_cxx::__enable_if<!std::__is_scalar<Piece>::__value, void>::__type std::__fill_a<Piece*, Piece>(Piece*, Piece*, Piece const&) [16]
                0.00    0.00  664328/664328      Piece* std::__niter_base<Piece*>(Piece*) [70]
-----------------------------------------------
                0.00    0.00       7/7319        NegaMaxSearcher::SearchBestMove(Position const&) [3]
                0.00    0.00       7/7319        RandomSearcher::SearchBestMove(Position const&) [46]
                0.00    0.11    7305/7319        NegaMaxSearcher::NegaMax(Position const&, int) [4]
[11]     7.9    0.00    0.11    7319         Position::GenerateMoves() const [11]
                0.02    0.01  240350/6284178     Position::GetPossiblePieces(int, int) const [7]
                0.00    0.03  332148/332148      void std::vector<Move, std::allocator<Move> >::emplace_back<int&, int&, Piece>(int&, int&, Piece&&) [23]
                0.00    0.02 1682450/3992566     std::bitset<7ul>::test(unsigned long) const [17]
                0.01    0.01       2/2           void std::vector<Move, std::allocator<Move> >::emplace_back<char const (&) [4], Position const&>(char const (&) [4], Position const&) [31]
                0.00    0.00  240350/6284178     std::bitset<7ul>::reset(unsigned long) [30]
                0.00    0.00  335238/58482184     Position::at(int, int) const [15]
                0.00    0.00    7319/7326        std::vector<Move, std::allocator<Move> >::vector() [114]
-----------------------------------------------
                0.02    0.00 8205247/39702564     Position::DoMove(Move, Position*) const [5]
                0.04    0.00 14735416/39702564     Position::FillForcedPieces(int, int) [6]
                0.04    0.00 16761901/39702564     Position::TraceVictoryLineOrLoop(int, int, bool) [13]
[12]     7.3    0.10    0.00 39702564         Position::at(int, int) [12]
-----------------------------------------------
                0.04    0.05 1037655/1037655     Position::FillWinnerFlags(int, int) [14]
[13]     6.7    0.04    0.05 1037655         Position::TraceVictoryLineOrLoop(int, int, bool) [13]
                0.04    0.00 16761901/39702564     Position::at(int, int) [12]
                0.01    0.00 8483776/8483776     int const& std::min<int>(int const&, int const&) [38]
-----------------------------------------------
                0.00    0.09  532426/532426      Position::FillForcedPieces(int, int) [6]
[14]     6.7    0.00    0.09  532426         Position::FillWinnerFlags(int, int) [14]
                0.04    0.05 1037655/1037655     Position::TraceVictoryLineOrLoop(int, int, bool) [13]
-----------------------------------------------
                0.00    0.00     439/58482184     Position::LargeDump() const [51]
                0.00    0.00  335238/58482184     Position::GenerateMoves() const [11]
                0.01    0.00 7873083/58482184     Position::DoMove(Move, Position*) const [5]
                0.07    0.00 50273424/58482184     Position::GetPossiblePieces(int, int) const [7]
[15]     5.8    0.08    0.00 58482184         Position::at(int, int) const [15]
-----------------------------------------------
                0.07    0.00  332164/332164      void std::fill<Piece*, Piece>(Piece*, Piece*, Piece const&) [10]
[16]     5.1    0.07    0.00  332164         __gnu_cxx::__enable_if<!std::__is_scalar<Piece>::__value, void>::__type std::__fill_a<Piece*, Piece>(Piece*, Piece*, Piece const&) [16]
-----------------------------------------------
                0.00    0.01  788870/3992566     Position::FillForcedPieces(int, int) [6]
                0.00    0.02 1521246/3992566     Position::GetPossiblePieces(int, int) const [7]
                0.00    0.02 1682450/3992566     Position::GenerateMoves() const [11]
[17]     4.6    0.01    0.06 3992566         std::bitset<7ul>::test(unsigned long) const [17]
                0.03    0.02 3992566/3992566     std::bitset<7ul>::_Unchecked_test(unsigned long) const [19]
                0.00    0.00 3992566/53581498     std::bitset<7ul>::_M_check(unsigned long, char const*) const [20]
-----------------------------------------------
                0.00    0.00 3992566/53581498     std::bitset<7ul>::_Unchecked_test(unsigned long) const [19]
                0.00    0.00 6284178/53581498     std::bitset<7ul>::_Unchecked_reset(unsigned long) [36]
                0.03    0.02 43304754/53581498     std::bitset<7ul>::_Unchecked_set(unsigned long, int) [9]
[18]     4.4    0.04    0.03 53581498         std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [18]
                0.03    0.00 53581498/53581498     std::_Base_bitset<1ul>::_S_whichbit(unsigned long) [29]
-----------------------------------------------
                0.03    0.02 3992566/3992566     std::bitset<7ul>::test(unsigned long) const [17]
[19]     4.0    0.03    0.02 3992566         std::bitset<7ul>::_Unchecked_test(unsigned long) const [19]
                0.02    0.00 3992566/3992566     std::_Base_bitset<1ul>::_M_getword(unsigned long) const [33]
                0.00    0.00 3992566/53581498     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [18]
-----------------------------------------------
                0.00    0.00 3992566/53581498     std::bitset<7ul>::test(unsigned long) const [17]
                0.01    0.00 6284178/53581498     std::bitset<7ul>::reset(unsigned long) [30]
                0.04    0.00 43304754/53581498     std::bitset<7ul>::set(unsigned long, bool) [8]
[20]     3.6    0.05    0.00 53581498         std::bitset<7ul>::_M_check(unsigned long, char const*) const [20]
-----------------------------------------------
                0.01    0.00 6284178/49588932     std::bitset<7ul>::_Unchecked_reset(unsigned long) [36]
                0.03    0.00 43304754/49588932     std::bitset<7ul>::_Unchecked_set(unsigned long, int) [9]
[21]     2.9    0.04    0.00 49588932         std::_Base_bitset<1ul>::_M_getword(unsigned long) [21]
-----------------------------------------------
                0.01    0.01 6284178/18371834     Position::GetPossiblePieces(int, int) const [7]
                0.01    0.01 12087656/18371834     Position::FillForcedPieces(int, int) [6]
[22]     2.6    0.02    0.02 18371834         std::bitset<7ul>::count() const [22]
                0.02    0.00 18371834/18371834     std::_Base_bitset<1ul>::_M_do_count() const [32]
-----------------------------------------------
                0.00    0.03  332148/332148      Position::GenerateMoves() const [11]
[23]     2.2    0.00    0.03  332148         void std::vector<Move, std::allocator<Move> >::emplace_back<int&, int&, Piece>(int&, int&, Piece&&) [23]
                0.00    0.03   50349/50349       void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<int&, int&, Piece>(int&, int&, Piece&&) [24]
                0.00    0.00  281799/332148      void std::allocator_traits<std::allocator<Move> >::construct<Move, int&, int&, Piece>(std::allocator<Move>&, Move*, int&, int&, Piece&&) [45]
                0.00    0.00  664296/2093586     int& std::forward<int&>(std::remove_reference<int&>::type&) [66]
                0.00    0.00  332148/1046793     Piece&& std::forward<Piece>(std::remove_reference<Piece>::type&) [67]
-----------------------------------------------
                0.00    0.03   50349/50349       void std::vector<Move, std::allocator<Move> >::emplace_back<int&, int&, Piece>(int&, int&, Piece&&) [23]
[24]     1.9    0.00    0.03   50349         void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<int&, int&, Piece>(int&, int&, Piece&&) [24]
                0.00    0.03   50349/50396       Move* std::__uninitialized_move_if_noexcept_a<Move*, Move*, std::allocator<Move> >(Move*, Move*, Move*, std::allocator<Move>&) [28]
                0.00    0.00   50349/332148      void std::allocator_traits<std::allocator<Move> >::construct<Move, int&, int&, Piece>(std::allocator<Move>&, Move*, int&, int&, Piece&&) [45]
                0.00    0.00  100698/2093586     int& std::forward<int&>(std::remove_reference<int&>::type&) [66]
                0.00    0.00  100698/108118      std::_Vector_base<Move, std::allocator<Move> >::_M_get_Tp_allocator() [86]
                0.00    0.00   50349/50396       std::vector<Move, std::allocator<Move> >::_M_check_len(unsigned long, char const*) const [99]
                0.00    0.00   50349/50396       std::_Vector_base<Move, std::allocator<Move> >::_M_allocate(unsigned long) [100]
                0.00    0.00   50349/1046793     Piece&& std::forward<Piece>(std::remove_reference<Piece>::type&) [67]
                0.00    0.00   50349/251987      std::vector<Move, std::allocator<Move> >::size() const [84]
                0.00    0.00   50349/57722       void std::_Destroy<Move*, Move>(Move*, Move*, std::allocator<Move>&) [95]
                0.00    0.00   50349/57722       std::_Vector_base<Move, std::allocator<Move> >::_M_deallocate(Move*, unsigned long) [93]
-----------------------------------------------
                0.01    0.02   50396/50396       Move* std::uninitialized_copy<std::move_iterator<Move*>, Move*>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*) [26]
[25]     1.9    0.01    0.02   50396         Move* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Move*>, Move*>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*) [25]
                0.01    0.01  433348/433348      void std::_Construct<Move, Move>(Move*, Move&&) [35]
                0.00    0.00  483744/483744      bool std::operator!=<Move*>(std::move_iterator<Move*> const&, std::move_iterator<Move*> const&) [72]
                0.00    0.00  433348/433348      std::move_iterator<Move*>::operator*() const [73]
                0.00    0.00  433348/433348      Move* std::__addressof<Move>(Move&) [75]
                0.00    0.00  433348/433348      std::move_iterator<Move*>::operator++() [74]
-----------------------------------------------
                0.00    0.03   50396/50396       Move* std::__uninitialized_copy_a<std::move_iterator<Move*>, Move*, Move>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*, std::allocator<Move>&) [27]
[26]     1.9    0.00    0.03   50396         Move* std::uninitialized_copy<std::move_iterator<Move*>, Move*>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*) [26]
                0.01    0.02   50396/50396       Move* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Move*>, Move*>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*) [25]
-----------------------------------------------
                0.00    0.03   50396/50396       Move* std::__uninitialized_move_if_noexcept_a<Move*, Move*, std::allocator<Move> >(Move*, Move*, Move*, std::allocator<Move>&) [28]
[27]     1.9    0.00    0.03   50396         Move* std::__uninitialized_copy_a<std::move_iterator<Move*>, Move*, Move>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*, std::allocator<Move>&) [27]
                0.00    0.03   50396/50396       Move* std::uninitialized_copy<std::move_iterator<Move*>, Move*>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*) [26]
-----------------------------------------------
                0.00    0.00       2/50396       void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<char const (&) [4], Position const&>(char const (&) [4], Position const&) [37]
                0.00    0.00      45/50396       void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<Move const&>(Move const&) [48]
                0.00    0.03   50349/50396       void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<int&, int&, Piece>(int&, int&, Piece&&) [24]
[28]     1.9    0.00    0.03   50396         Move* std::__uninitialized_move_if_noexcept_a<Move*, Move*, std::allocator<Move> >(Move*, Move*, Move*, std::allocator<Move>&) [28]
                0.00    0.03   50396/50396       Move* std::__uninitialized_copy_a<std::move_iterator<Move*>, Move*, Move>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*, std::allocator<Move>&) [27]
                0.00    0.00  100792/100792      std::move_iterator<Move*> std::__make_move_if_noexcept_iterator<Move, std::move_iterator<Move*> >(Move*) [91]
-----------------------------------------------
                0.03    0.00 53581498/53581498     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [18]
[29]     1.8    0.03    0.00 53581498         std::_Base_bitset<1ul>::_S_whichbit(unsigned long) [29]
-----------------------------------------------
                0.00    0.00  240350/6284178     Position::GenerateMoves() const [11]
                0.00    0.02 6043828/6284178     Position::FillForcedPieces(int, int) [6]
[30]     1.7    0.01    0.02 6284178         std::bitset<7ul>::reset(unsigned long) [30]
                0.00    0.01 6284178/6284178     std::bitset<7ul>::_Unchecked_reset(unsigned long) [36]
                0.01    0.00 6284178/53581498     std::bitset<7ul>::_M_check(unsigned long, char const*) const [20]
-----------------------------------------------
                0.01    0.01       2/2           Position::GenerateMoves() const [11]
[31]     1.5    0.01    0.01       2         void std::vector<Move, std::allocator<Move> >::emplace_back<char const (&) [4], Position const&>(char const (&) [4], Position const&) [31]
                0.01    0.00       2/2           void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<char const (&) [4], Position const&>(char const (&) [4], Position const&) [37]
                0.00    0.00       2/8           Position const& std::forward<Position const&>(std::remove_reference<Position const&>::type&) [151]
                0.00    0.00       2/8           char const (&std::forward<char const (&) [4]>(std::remove_reference<char const (&) [4]>::type&)) [4] [150]
-----------------------------------------------
                0.02    0.00 18371834/18371834     std::bitset<7ul>::count() const [22]
[32]     1.5    0.02    0.00 18371834         std::_Base_bitset<1ul>::_M_do_count() const [32]
-----------------------------------------------
                0.02    0.00 3992566/3992566     std::bitset<7ul>::_Unchecked_test(unsigned long) const [19]
[33]     1.5    0.02    0.00 3992566         std::_Base_bitset<1ul>::_M_getword(unsigned long) const [33]
-----------------------------------------------
                                                 <spontaneous>
[34]     1.5    0.02    0.00                 operator delete(void*, void*) [34]
-----------------------------------------------
                0.01    0.01  433348/433348      Move* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<Move*>, Move*>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*) [25]
[35]     1.1    0.01    0.01  433348         void std::_Construct<Move, Move>(Move*, Move&&) [35]
                0.01    0.00  433348/765915      operator new(unsigned long, void*) [39]
                0.00    0.00  433348/433348      Move&& std::forward<Move>(std::remove_reference<Move>::type&) [76]
-----------------------------------------------
                0.00    0.01 6284178/6284178     std::bitset<7ul>::reset(unsigned long) [30]
[36]     0.9    0.00    0.01 6284178         std::bitset<7ul>::_Unchecked_reset(unsigned long) [36]
                0.00    0.00 6284178/53581498     std::_Base_bitset<1ul>::_S_maskbit(unsigned long) [18]
                0.01    0.00 6284178/49588932     std::_Base_bitset<1ul>::_M_getword(unsigned long) [21]
-----------------------------------------------
                0.01    0.00       2/2           void std::vector<Move, std::allocator<Move> >::emplace_back<char const (&) [4], Position const&>(char const (&) [4], Position const&) [31]
[37]     0.7    0.01    0.00       2         void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<char const (&) [4], Position const&>(char const (&) [4], Position const&) [37]
                0.00    0.00       2/50396       Move* std::__uninitialized_move_if_noexcept_a<Move*, Move*, std::allocator<Move> >(Move*, Move*, Move*, std::allocator<Move>&) [28]
                0.00    0.00       2/2           void std::allocator_traits<std::allocator<Move> >::construct<Move, char const (&) [4], Position const&>(std::allocator<Move>&, Move*, char const (&) [4], Position const&) [59]
                0.00    0.00       4/108118      std::_Vector_base<Move, std::allocator<Move> >::_M_get_Tp_allocator() [86]
                0.00    0.00       2/50396       std::vector<Move, std::allocator<Move> >::_M_check_len(unsigned long, char const*) const [99]
                0.00    0.00       2/50396       std::_Vector_base<Move, std::allocator<Move> >::_M_allocate(unsigned long) [100]
                0.00    0.00       2/8           Position const& std::forward<Position const&>(std::remove_reference<Position const&>::type&) [151]
                0.00    0.00       2/8           char const (&std::forward<char const (&) [4]>(std::remove_reference<char const (&) [4]>::type&)) [4] [150]
                0.00    0.00       2/251987      std::vector<Move, std::allocator<Move> >::size() const [84]
                0.00    0.00       2/57722       void std::_Destroy<Move*, Move>(Move*, Move*, std::allocator<Move>&) [95]
                0.00    0.00       2/57722       std::_Vector_base<Move, std::allocator<Move> >::_M_deallocate(Move*, unsigned long) [93]
-----------------------------------------------
                0.01    0.00 8483776/8483776     Position::TraceVictoryLineOrLoop(int, int, bool) [13]
[38]     0.7    0.01    0.00 8483776         int const& std::min<int>(int const&, int const&) [38]
-----------------------------------------------
                0.00    0.00       2/765915      void __gnu_cxx::new_allocator<Move>::construct<Move, char const (&) [4], Position const&>(Move*, char const (&) [4], Position const&) [58]
                0.00    0.00     171/765915      void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*) [52]
                0.00    0.00     246/765915      void __gnu_cxx::new_allocator<Move>::construct<Move, Move const&>(Move*, Move const&) [49]
                0.00    0.00  332148/765915      void __gnu_cxx::new_allocator<Move>::construct<Move, int&, int&, Piece>(Move*, int&, int&, Piece&&) [44]
                0.01    0.00  433348/765915      void std::_Construct<Move, Move>(Move*, Move&&) [35]
[39]     0.7    0.01    0.00  765915         operator new(unsigned long, void*) [39]
-----------------------------------------------
                0.00    0.00     212/332150      NegaMaxSearcher::SearchBestMove(Position const&) [3]
                0.00    0.00     246/332150      RandomSearcher::SearchBestMove(Position const&) [46]
                0.01    0.00  331692/332150      NegaMaxSearcher::NegaMax(Position const&, int) [4]
[40]     0.7    0.01    0.00  332150         __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator*() const [40]
-----------------------------------------------
                0.01    0.00      42/42          std::enable_if<std::__and_<std::is_move_constructible<Piece*>, std::is_move_assignable<Piece*> >::value, void>::type std::swap<Piece*>(Piece*&, Piece*&) [43]
[41]     0.4    0.01    0.00      42         std::remove_reference<Piece*&>::type&& std::move<Piece*&>(Piece*&) [41]
-----------------------------------------------
                0.00    0.01      14/14          StartSelfGame(Searcher*, Searcher*, bool) [2]
[42]     0.4    0.00    0.01      14         Position::Swap(Position*) [42]
                0.00    0.01      14/14          std::enable_if<std::__and_<std::is_move_constructible<Piece*>, std::is_move_assignable<Piece*> >::value, void>::type std::swap<Piece*>(Piece*&, Piece*&) [43]
                0.00    0.00      42/42          std::enable_if<std::__and_<std::is_move_constructible<bool>, std::is_move_assignable<bool> >::value, void>::type std::swap<bool>(bool&, bool&) [147]
                0.00    0.00      28/28          std::enable_if<std::__and_<std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&) [148]
-----------------------------------------------
                0.00    0.01      14/14          Position::Swap(Position*) [42]
[43]     0.4    0.00    0.01      14         std::enable_if<std::__and_<std::is_move_constructible<Piece*>, std::is_move_assignable<Piece*> >::value, void>::type std::swap<Piece*>(Piece*&, Piece*&) [43]
                0.01    0.00      42/42          std::remove_reference<Piece*&>::type&& std::move<Piece*&>(Piece*&) [41]
-----------------------------------------------
                0.00    0.00  332148/332148      void std::allocator_traits<std::allocator<Move> >::construct<Move, int&, int&, Piece>(std::allocator<Move>&, Move*, int&, int&, Piece&&) [45]
[44]     0.3    0.00    0.00  332148         void __gnu_cxx::new_allocator<Move>::construct<Move, int&, int&, Piece>(Move*, int&, int&, Piece&&) [44]
                0.00    0.00  332148/765915      operator new(unsigned long, void*) [39]
                0.00    0.00  664296/2093586     int& std::forward<int&>(std::remove_reference<int&>::type&) [66]
                0.00    0.00  332148/1046793     Piece&& std::forward<Piece>(std::remove_reference<Piece>::type&) [67]
                0.00    0.00  332148/332148      Move::Move(int, int, Piece) [81]
-----------------------------------------------
                0.00    0.00   50349/332148      void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<int&, int&, Piece>(int&, int&, Piece&&) [24]
                0.00    0.00  281799/332148      void std::vector<Move, std::allocator<Move> >::emplace_back<int&, int&, Piece>(int&, int&, Piece&&) [23]
[45]     0.3    0.00    0.00  332148         void std::allocator_traits<std::allocator<Move> >::construct<Move, int&, int&, Piece>(std::allocator<Move>&, Move*, int&, int&, Piece&&) [45]
                0.00    0.00  332148/332148      void __gnu_cxx::new_allocator<Move>::construct<Move, int&, int&, Piece>(Move*, int&, int&, Piece&&) [44]
                0.00    0.00  664296/2093586     int& std::forward<int&>(std::remove_reference<int&>::type&) [66]
                0.00    0.00  332148/1046793     Piece&& std::forward<Piece>(std::remove_reference<Piece>::type&) [67]
-----------------------------------------------
                0.00    0.00       7/7           StartSelfGame(Searcher*, Searcher*, bool) [2]
[46]     0.1    0.00    0.00       7         RandomSearcher::SearchBestMove(Position const&) [46]
                0.00    0.00     246/332164      Position::DoMove(Move, Position*) const [5]
                0.00    0.00       7/7319        Position::GenerateMoves() const [11]
                0.00    0.00     246/246         std::vector<Move, std::allocator<Move> >::push_back(Move const&) [47]
                0.00    0.00     246/332150      __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator*() const [40]
                0.00    0.00     253/339469      bool __gnu_cxx::operator!=<Move*, std::vector<Move, std::allocator<Move> > >(__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > > const&, __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > > const&) [77]
                0.00    0.00     246/332165      Position::Position() [78]
                0.00    0.00     246/332150      __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator++() [80]
                0.00    0.00     246/332165      Position::~Position() [79]
                0.00    0.00      14/7326        std::vector<Move, std::allocator<Move> >::~vector() [115]
                0.00    0.00       7/7326        std::vector<Move, std::allocator<Move> >::vector() [114]
                0.00    0.00       7/7319        std::vector<Move, std::allocator<Move> >::begin() [117]
                0.00    0.00       7/7319        std::vector<Move, std::allocator<Move> >::end() [116]
                0.00    0.00       7/7           Random() [152]
                0.00    0.00       7/251987      std::vector<Move, std::allocator<Move> >::size() const [84]
                0.00    0.00       7/7           std::vector<Move, std::allocator<Move> >::operator[](unsigned long) [153]
-----------------------------------------------
                0.00    0.00     246/246         RandomSearcher::SearchBestMove(Position const&) [46]
[47]     0.0    0.00    0.00     246         std::vector<Move, std::allocator<Move> >::push_back(Move const&) [47]
                0.00    0.00      45/45          void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<Move const&>(Move const&) [48]
                0.00    0.00     201/246         void std::allocator_traits<std::allocator<Move> >::construct<Move, Move const&>(std::allocator<Move>&, Move*, Move const&) [50]
-----------------------------------------------
                0.00    0.00      45/45          std::vector<Move, std::allocator<Move> >::push_back(Move const&) [47]
[48]     0.0    0.00    0.00      45         void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<Move const&>(Move const&) [48]
                0.00    0.00      45/50396       Move* std::__uninitialized_move_if_noexcept_a<Move*, Move*, std::allocator<Move> >(Move*, Move*, Move*, std::allocator<Move>&) [28]
                0.00    0.00      45/246         void std::allocator_traits<std::allocator<Move> >::construct<Move, Move const&>(std::allocator<Move>&, Move*, Move const&) [50]
                0.00    0.00      90/108118      std::_Vector_base<Move, std::allocator<Move> >::_M_get_Tp_allocator() [86]
                0.00    0.00      45/50396       std::vector<Move, std::allocator<Move> >::_M_check_len(unsigned long, char const*) const [99]
                0.00    0.00      45/50396       std::_Vector_base<Move, std::allocator<Move> >::_M_allocate(unsigned long) [100]
                0.00    0.00      45/537         Move const& std::forward<Move const&>(std::remove_reference<Move const&>::type&) [119]
                0.00    0.00      45/251987      std::vector<Move, std::allocator<Move> >::size() const [84]
                0.00    0.00      45/57722       void std::_Destroy<Move*, Move>(Move*, Move*, std::allocator<Move>&) [95]
                0.00    0.00      45/57722       std::_Vector_base<Move, std::allocator<Move> >::_M_deallocate(Move*, unsigned long) [93]
-----------------------------------------------
                0.00    0.00     246/246         void std::allocator_traits<std::allocator<Move> >::construct<Move, Move const&>(std::allocator<Move>&, Move*, Move const&) [50]
[49]     0.0    0.00    0.00     246         void __gnu_cxx::new_allocator<Move>::construct<Move, Move const&>(Move*, Move const&) [49]
                0.00    0.00     246/765915      operator new(unsigned long, void*) [39]
                0.00    0.00     246/537         Move const& std::forward<Move const&>(std::remove_reference<Move const&>::type&) [119]
-----------------------------------------------
                0.00    0.00      45/246         void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<Move const&>(Move const&) [48]
                0.00    0.00     201/246         std::vector<Move, std::allocator<Move> >::push_back(Move const&) [47]
[50]     0.0    0.00    0.00     246         void std::allocator_traits<std::allocator<Move> >::construct<Move, Move const&>(std::allocator<Move>&, Move*, Move const&) [50]
                0.00    0.00     246/246         void __gnu_cxx::new_allocator<Move>::construct<Move, Move const&>(Move*, Move const&) [49]
                0.00    0.00     246/537         Move const& std::forward<Move const&>(std::remove_reference<Move const&>::type&) [119]
-----------------------------------------------
                0.00    0.00      14/14          StartSelfGame(Searcher*, Searcher*, bool) [2]
[51]     0.0    0.00    0.00      14         Position::LargeDump() const [51]
                0.00    0.00      57/57          std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(unsigned long, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) [55]
                0.00    0.00     439/58482184     Position::at(int, int) const [15]
                0.00    0.00    1488/1488        std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long) [118]
                0.00    0.00      57/57          std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocator() [133]
                0.00    0.00      57/114         std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~allocator() [124]
                0.00    0.00      57/57          std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector() [144]
-----------------------------------------------
                0.00    0.00     171/171         std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long) [53]
[52]     0.0    0.00    0.00     171         void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*) [52]
                0.00    0.00     171/765915      operator new(unsigned long, void*) [39]
-----------------------------------------------
                0.00    0.00      57/57          std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_default_n<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long) [56]
