Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.37     0.00   100792     0.00     0.00  std::vector<Move, std::allocator<Move> >::max_size() const
  0.00      1.37     0.00   100792     0.00     0.00  std::move_iterator<Move*>::move_iterator(Move*)
  0.00      1.37     0.00   100792     0.00     0.00  std::allocator_traits<std::allocator<Move> >::max_size(std::allocator<Move> const&)
  0.00      1.37     0.00   100792     0.00     0.00  std::move_iterator<Move*> std::__make_move_if_noexcept_iterator<Move, std::move_iterator<Move*> >(Move*)
  0.00      1.37     0.00    57722     0.00     0.00  void std::_Destroy_aux<true>::__destroy<Move*>(Move*, Move*)
  0.00      1.37     0.00    57722     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_M_deallocate(Move*, unsigned long)
  0.00      1.37     0.00    57722     0.00     0.00  void std::_Destroy<Move*>(Move*, Move*)
  0.00      1.37     0.00    57722     0.00     0.00  void std::_Destroy<Move*, Move>(Move*, Move*, std::allocator<Move>&)
  0.00      1.37     0.00    53637     0.00     0.00  Position::red_to_move() const
  0.00      1.37     0.00    50396     0.00     0.00  __gnu_cxx::new_allocator<Move>::deallocate(Move*, unsigned long)
  0.00      1.37     0.00    50396     0.00     0.00  __gnu_cxx::new_allocator<Move>::allocate(unsigned long, void const*)
  0.00      1.37     0.00    50396     0.00     0.00  std::vector<Move, std::allocator<Move> >::_M_check_len(unsigned long, char const*) const
  0.00      1.37     0.00    50396     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_M_allocate(unsigned long)
  0.00      1.37     0.00    50396     0.00     0.00  std::allocator_traits<std::allocator<Move> >::deallocate(std::allocator<Move>&, Move*, unsigned long)
  0.00      1.37     0.00    50396     0.00     0.00  std::allocator_traits<std::allocator<Move> >::allocate(std::allocator<Move>&, unsigned long)
  0.00      1.37     0.00    50396     0.00     0.00  Move* std::uninitialized_copy<std::move_iterator<Move*>, Move*>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*)
  0.00      1.37     0.00    50396     0.00     0.00  Move* std::__uninitialized_copy_a<std::move_iterator<Move*>, Move*, Move>(std::move_iterator<Move*>, std::move_iterator<Move*>, Move*, std::allocator<Move>&)
  0.00      1.37     0.00    50396     0.00     0.00  Move* std::__uninitialized_move_if_noexcept_a<Move*, Move*, std::allocator<Move> >(Move*, Move*, Move*, std::allocator<Move>&)
  0.00      1.37     0.00    50396     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.37     0.00    50349     0.00     0.00  void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<int&, int&, Piece>(int&, int&, Piece&&)
  0.00      1.37     0.00    26903     0.00     0.00  Position::red_winner() const
  0.00      1.37     0.00    14638     0.00     0.00  __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::__normal_iterator(Move* const&)
  0.00      1.37     0.00     7326     0.00     0.00  __gnu_cxx::new_allocator<Move>::new_allocator()
  0.00      1.37     0.00     7326     0.00     0.00  __gnu_cxx::new_allocator<Move>::~new_allocator()
  0.00      1.37     0.00     7326     0.00     0.00  std::allocator<Move>::allocator()
  0.00      1.37     0.00     7326     0.00     0.00  std::allocator<Move>::~allocator()
  0.00      1.37     0.00     7326     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_Vector_impl::_Vector_impl()
  0.00      1.37     0.00     7326     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_Vector_impl::~_Vector_impl()
  0.00      1.37     0.00     7326     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::_Vector_base()
  0.00      1.37     0.00     7326     0.00     0.00  std::_Vector_base<Move, std::allocator<Move> >::~_Vector_base()
  0.00      1.37     0.00     7326     0.00     0.00  std::vector<Move, std::allocator<Move> >::vector()
  0.00      1.37     0.00     7326     0.00     0.00  std::vector<Move, std::allocator<Move> >::~vector()
  0.00      1.37     0.00     7319     0.00     0.00  Position::GenerateMoves() const
  0.00      1.37     0.00     7319     0.00     0.00  std::vector<Move, std::allocator<Move> >::end()
  0.00      1.37     0.00     7319     0.00     0.00  std::vector<Move, std::allocator<Move> >::begin()
  0.00      1.37     0.00     1488     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::operator[](unsigned long)
  0.00      1.37     0.00      537     0.00     0.00  Move const& std::forward<Move const&>(std::remove_reference<Move const&>::type&)
  0.00      1.37     0.00      342     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__addressof<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      1.37     0.00      246     0.00     0.00  void __gnu_cxx::new_allocator<Move>::construct<Move, Move const&>(Move*, Move const&)
  0.00      1.37     0.00      246     0.00     0.00  void std::allocator_traits<std::allocator<Move> >::construct<Move, Move const&>(std::allocator<Move>&, Move*, Move const&)
  0.00      1.37     0.00      246     0.00     0.00  std::vector<Move, std::allocator<Move> >::push_back(Move const&)
  0.00      1.37     0.00      212     0.00     0.01  NegaMaxSearcher::NegaMax(Position const&, int)
  0.00      1.37     0.00      171     0.00     0.00  void std::_Construct<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      1.37     0.00      171     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      1.37     0.00      126     0.00     0.00  std::remove_reference<bool&>::type&& std::move<bool&>(bool&)
  0.00      1.37     0.00      114     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~new_allocator()
  0.00      1.37     0.00      114     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~allocator()
  0.00      1.37     0.00      114     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_get_Tp_allocator()
  0.00      1.37     0.00       84     0.00     0.00  std::remove_reference<int&>::type&& std::move<int&>(int&)
  0.00      1.37     0.00       57     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocate(unsigned long, void const*)
  0.00      1.37     0.00       57     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::new_allocator(__gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      1.37     0.00       57     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::new_allocator()
  0.00      1.37     0.00       57     0.00     0.00  __gnu_cxx::new_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::max_size() const
  0.00      1.37     0.00       57     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocator(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      1.37     0.00       57     0.00     0.00  std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::allocator()
  0.00      1.37     0.00       57     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      1.37     0.00       57     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_allocate(unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl::_Vector_impl(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      1.37     0.00       57     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_impl::~_Vector_impl()
  0.00      1.37     0.00       57     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_deallocate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_create_storage(unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_Vector_base(unsigned long, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      1.37     0.00       57     0.00     0.00  std::_Vector_base<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~_Vector_base()
  0.00      1.37     0.00       57     0.00     0.00  std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::deallocate(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  std::allocator_traits<std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::allocate(std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_default_n_1<false>::__uninit_default_n<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::_M_default_initialize(unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::vector(unsigned long, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      1.37     0.00       57     0.00     0.00  std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::~vector()
  0.00      1.37     0.00       57     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_default_n<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long)
  0.00      1.37     0.00       57     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >* std::__uninitialized_default_n_a<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, unsigned long, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      1.37     0.00       57     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*)
  0.00      1.37     0.00       57     0.00     0.00  void std::_Destroy<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >*, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      1.37     0.00       45     0.00     0.00  void std::vector<Move, std::allocator<Move> >::_M_emplace_back_aux<Move const&>(Move const&)
  0.00      1.37     0.00       42     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<bool>, std::is_move_assignable<bool> >::value, void>::type std::swap<bool>(bool&, bool&)
  0.00      1.37     0.00       28     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<int>, std::is_move_assignable<int> >::value, void>::type std::swap<int>(int&, int&)
  0.00      1.37     0.00       21     0.00     0.00  Move::Move()
  0.00      1.37     0.00       14     0.00     0.00  Position::Swap(Position*)
  0.00      1.37     0.00       14     0.00     0.00  Position::LargeDump() const
  0.00      1.37     0.00       14     0.00     0.00  std::enable_if<std::__and_<std::is_move_constructible<Piece*>, std::is_move_assignable<Piece*> >::value, void>::type std::swap<Piece*>(Piece*&, Piece*&)
  0.00      1.37     0.00        8     0.00     0.00  char const (&std::forward<char const (&) [4]>(std::remove_reference<char const (&) [4]>::type&)) [4]
  0.00      1.37     0.00        8     0.00     0.00  Position const& std::forward<Position const&>(std::remove_reference<Position const&>::type&)
  0.00      1.37     0.00        7     0.00     0.00  Random()
  0.00      1.37     0.00        7     0.00     0.00  RandomSearcher::SearchBestMove(Position const&)
  0.00      1.37     0.00        7     0.00     0.19  NegaMaxSearcher::SearchBestMove(Position const&)
  0.00      1.37     0.00        7     0.00     0.00  std::vector<Move, std::allocator<Move> >::operator[](unsigned long)
  0.00      1.37     0.00        2     0.00     0.00  Move::Move(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, Position const&)
  0.00      1.37     0.00        2     0.00     0.00  Searcher::~Searcher()
  0.00      1.37     0.00        2     0.00     0.00  void __gnu_cxx::new_allocator<Move>::construct<Move, char const (&) [4], Position const&>(Move*, char const (&) [4], Position const&)
  0.00      1.37     0.00        2     0.00     0.00  Position::max_x() const
  0.00      1.37     0.00        2     0.00     0.00  Position::max_y() const
  0.00      1.37     0.00        2     0.00     0.00  void std::allocator_traits<std::allocator<Move> >::construct<Move, char const (&) [4], Position const&>(std::allocator<Move>&, Move*, char const (&) [4], Position const&)
  0.00      1.37     0.00        1     0.00     0.00  _GLOBAL__sub_I_kPlayerId
  0.00      1.37     0.00        1     0.00     1.35  StartSelfGame(Searcher*, Searcher*, bool)
  0.00      1.37     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00      1.37     0.00        1     0.00     0.00  RandomSearcher::~RandomSearcher()
  0.00      1.37     0.00        1     0.00     0.00  NegaMaxSearcher::NegaMaxSearcher(int)
  0.00      1.37     0.00        1     0.00     0.00  NegaMaxSearcher::~NegaMaxSearcher()
  0.00      1.37     0.00        1     0.00     0.00  Searcher::Searcher()

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2015 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.73% of 1.37 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     98.5    0.00    1.35                 main [1]
                0.00    1.35       1/1           StartSelfGame(Searcher*, Searcher*, bool) [2]
                0.00    0.00       1/1           NegaMaxSearcher::NegaMaxSearcher(int) [161]
                0.00    0.00       1/1           RandomSearcher::~RandomSearcher() [160]
                0.00    0.00       1/1           NegaMaxSearcher::~NegaMaxSearcher() [162]
-----------------------------------------------
                0.00    1.35       1/1           main [1]
[2]     98.5    0.00    1.35       1         StartSelfGame(Searcher*, Searcher*, bool) [2]
                0.00    1.34       7/7           NegaMaxSearcher::SearchBestMove(Position const&) [3]
                0.00    0.01      14/14          Position::Swap(Position*) [42]
                0.00    0.00       7/7           RandomSearcher::SearchBestMove(Position const&) [46]
                0.00    0.00      14/332164      Position::DoMove(Move, Position*) const [5]
                0.00    0.00      14/14          Position::LargeDump() const [51]
                0.00    0.00      15/332165      Position::Position() [78]
                0.00    0.00      15/331919      Position::finished() const [82]
                0.00    0.00      15/332165      Position::~Position() [79]
                0.00    0.00      14/21          Move::Move() [149]
                0.00    0.00      14/53637       Position::red_to_move() const [96]
                0.00    0.00       2/26903       Position::red_winner() const [104]
-----------------------------------------------
                0.00    1.34       7/7           StartSelfGame(Searcher*, Searcher*, bool) [2]
[3]     98.1    0.00    1.34       7         NegaMaxSearcher::SearchBestMove(Position const&) [3]
                0.00    1.34     212/212         NegaMaxSearcher::NegaMax(Position const&, int) [4]
                0.00    0.00     212/332164      Position::DoMove(Move, Position*) const [5]
                0.00    0.00       7/7319        Position::GenerateMoves() const [11]
                0.00    0.00     212/332150      __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >::operator*() const [40]
                0.00    0.00     219/339469      bool __gnu_cxx::operator!=<Move*, std::vector<Move, std::allocator<Move> > >(__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > > const&, __gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > > const&) [77]
                0.00    0.00     212/332165      Position::Position() [78]
                0.00    0.00     212/332165      Position::~Position() [79]
